Athens,Greece,Tehran,Iran
Athens,Greece,London,England
Athens,Greece,Madrid,Spain
Bangkok,Thai People,Islamabad,Pakistan
Beijing,China,Tokyo,Japan
Berlin,Germany,Rome,Italy
Cairo,Egypt,Oslo,Norway
Cairo,Egypt,Ottawa,Canada
Kabul,Afghanistan,Canberra,Australia
Canberra,Australia,Doha,Qatar
Kabul,Afghanistan,Hanoi,Vietnam
Stockholm,Sweden,Hanoi,Vietnam
Budapest,Hungary,Kathmandu,Nepal
Dhaka,Bangladesh,Khartoum,Sudan
Dhaka,Bangladesh,Kiev,Ukraine
Lisbon,Portugal,Quito,Ecuador
Lisbon,Portugal,Riga,Latvia
India,Asia,Paris,Europe
China,Asia,Greece,Europe
Nigeria,Africa,France,Europe
Kenya,Africa,Netherlands,Europe
Mumbai,Asia,Nairobi,Africa
Maharashtra,Mumbai,Karnataka,Bengaluru
Telengana,Hyderabad,Odisha,Bhubaneswar
Gujarat,Gandhinagar,Bihar,Patna
Chhattisgarh,Raipur,Assam,Dispur
Goa,Panaji,Rajasthan,Jaipur
Jharkhand,Ranchi,Punjab,Chandigarh
Tripura,Agartala,Kerala,Thiruvananthapuram
India,Delhi,Serbia,Belgrade
Spain,Spanish People,Egypt,Arabic Language
Syria,Arabic Language,Australia,English Language
Mouse,Squeak,Elephant,Trumpet
Algeria,Dinar,USA,Dollar
Argentina,Argentine peso,Russia,Russian Ruble
Armenia,Aremnian Dram,Iran,Iranian Rial
Brazil,Brazilian Real,Sweden,Danish Krona
Europe,Euro,Japan,Japanese Yen
India,rupee,Denmark,Danish krone
USA,dollar,Nigeria,Nigerian Naira
Switzerland,Swiss People,Spain,Spanish People
Thai,Thai People,India,Indian People
Sweden,Swedish People,Netherlands,Dutch People
Spain,Spanish People,Korea,Korean People
Russia,Russian People,Germany,German People
Portugal,Portuguese People,Slovakia,Slovakian People
Poland,Polish People,Italy,Italian People
Norway,Norwegian People,Mexico,Mexican People
Japan,Japanese People,Australia,Australian People
Italy,Italian People,Ireland,Irish People
Croatia,Croatian People,France,French People
Denmark,Danish People,Germany,German People
